,County Name,GDP 2018,10/2/20 Known Covid Cases
403,"Burke, GA",2830946.0,828
404,"Butts, GA",646145.0,674
405,"Calhoun, GA",132791.0,250
406,"Camden, GA",2114764.0,1313
407,"Candler, GA",278749.0,468
408,"Carroll, GA",4428990.0,2840
409,"Catoosa, GA",1556696.0,1226
410,"Charlton, GA",217428.0,639
411,"Chatham, GA",19357820.0,8596
412,"Chattahoochee, GA",1598505.0,1678
413,"Chattooga, GA",622293.0,800
414,"Cherokee, GA",7043650.0,6185
415,"Clarke, GA",7933106.0,5145
416,"Clay, GA",90687.0,121
417,"Clayton, GA",19123786.0,7121
418,"Clinch, GA",271546.0,380
419,"Cobb, GA",50574732.0,19872
420,"Coffee, GA",1554195.0,2084
421,"Colquitt, GA",1475552.0,1907
422,"Columbia, GA",3780110.0,3818
423,"Cook, GA",422149.0,554
424,"Coweta, GA",4179418.0,2646
425,"Crawford, GA",171741.0,169
426,"Crisp, GA",817872.0,581
427,"Dade, GA",418597.0,287
428,"Dawson, GA",908263.0,839
429,"Decatur, GA",916338.0,1181
430,"DeKalb, GA",41799796.0,19030
431,"Dodge, GA",494127.0,437
432,"Dooly, GA",351176.0,345
433,"Dougherty, GA",4751513.0,3164
434,"Douglas, GA",4380025.0,3633
435,"Early, GA",620630.0,507
436,"Echols, GA",54191.0,242
437,"Effingham, GA",2066643.0,1484
438,"Elbert, GA",654889.0,704
439,"Emanuel, GA",718281.0,1090
440,"Evans, GA",387591.0,434
441,"Fannin, GA",698677.0,698
442,"Fayette, GA",4923301.0,1906
443,"Floyd, GA",4294954.0,3284
444,"Forsyth, GA",9592874.0,4182
445,"Franklin, GA",937092.0,768
446,"Fulton, GA",167756500.0,27855
447,"Gilmer, GA",878148.0,843
448,"Glascock, GA",48732.0,40
449,"Glynn, GA",4084701.0,3506
450,"Gordon, GA",2372510.0,1894
451,"Grady, GA",754700.0,797
452,"Greene, GA",702108.0,511
453,"Gwinnett, GA",48836948.0,27844
454,"Habersham, GA",1541182.0,1719
455,"Hall, GA",9983107.0,9567
456,"Hancock, GA",191425.0,398
457,"Haralson, GA",814844.0,500
458,"Harris, GA",522874.0,800
459,"Hart, GA",952232.0,524
460,"Heard, GA",1283931.0,200
461,"Henry, GA",6190990.0,5352
462,"Houston, GA",6858578.0,3180
463,"Irwin, GA",209077.0,318
464,"Jackson, GA",2972005.0,2049
465,"Jasper, GA",273391.0,222
466,"Jeff Davis, GA",469458.0,727
467,"Jefferson, GA",578662.0,811
468,"Jenkins, GA",155594.0,437
469,"Johnson, GA",157811.0,418
470,"Jones, GA",450672.0,570
471,"Lamar, GA",444205.0,377
472,"Lanier, GA",183177.0,297
473,"Laurens, GA",2129385.0,1689
474,"Lee, GA",620156.0,705
475,"Liberty, GA",3655387.0,1134
476,"Lincoln, GA",153779.0,214
477,"Long, GA",137382.0,252
478,"Lowndes, GA",5213433.0,3955
479,"Lumpkin, GA",803630.0,937
480,"McDuffie, GA",692839.0,608
481,"McIntosh, GA",216710.0,294
482,"Macon, GA",442258.0,235
483,"Madison, GA",506022.0,710
484,"Marion, GA",141910.0,192
485,"Meriwether, GA",567335.0,548
486,"Miller, GA",197784.0,272
487,"Mitchell, GA",765673.0,820
488,"Monroe, GA",1867979.0,704
489,"Montgomery, GA",166472.0,318
490,"Morgan, GA",754659.0,487
491,"Murray, GA",1382189.0,846
492,"Muscogee, GA",11198099.0,6079
493,"Newton, GA",2772088.0,2620
494,"Oconee, GA",1392998.0,766
495,"Oglethorpe, GA",312333.0,342
496,"Paulding, GA",2638493.0,2834
497,"Peach, GA",1061778.0,677
498,"Pickens, GA",1047712.0,623
499,"Pierce, GA",437831.0,618
500,"Pike, GA",323928.0,347
501,"Polk, GA",1327289.0,1507
502,"Pulaski, GA",296466.0,318
503,"Putnam, GA",526124.0,702
504,"Quitman, GA",53463.0,34
505,"Rabun, GA",542190.0,376
506,"Randolph, GA",401991.0,331
507,"Richmond, GA",13187544.0,7220
508,"Rockdale, GA",3861232.0,1882
509,"Schley, GA",126018.0,106
510,"Screven, GA",375459.0,420
511,"Seminole, GA",285402.0,369
512,"Spalding, GA",2202688.0,1354
513,"Stephens, GA",931776.0,1107
514,"Stewart, GA",145493.0,523
515,"Sumter, GA",1138014.0,939
516,"Talbot, GA",154072.0,166
517,"Taliaferro, GA",41433.0,22
518,"Tattnall, GA",624922.0,846
519,"Taylor, GA",223357.0,216
520,"Telfair, GA",458197.0,395
521,"Terrell, GA",276657.0,329
522,"Thomas, GA",2336213.0,1501
523,"Tift, GA",1968850.0,1813
524,"Toombs, GA",1041411.0,1350
525,"Towns, GA",341942.0,345
526,"Treutlen, GA",133197.0,263
527,"Troup, GA",4160370.0,2837
528,"Turner, GA",219568.0,311
